"rabs","n","alpha","rsgn","smoothed","design","subj_id","weights","correct","log_time"
0.7,48,-2.94443897916644,1,1,0,1,1,0,3.332204519
0.5,96,-2.94443897916644,1,1,0,1,1,0,3.465735901
0.7,48,-2.94443897916644,1,1,0,1,1,1,3.526360518
0.3,96,-2.94443897916644,1,1,0,1,1,0,3.25809653
0.3,96,-2.94443897916644,0,0,0,1,1,0,3.637586162
0.9,48,-2.94443897916644,0,0,1,1,1,1,2.484906621
0.9,48,-2.94443897916644,0,0,1,1,1,1,3.828641398
0.3,96,-2.94443897916644,0,1,1,1,1,0,3.465735901
0.5,48,-2.94443897916644,0,0,1,1,1,0,2.995732287
0.3,12,-2.94443897916644,0,0,1,1,1,0,2.833213319
0.5,48,-2.94443897916644,1,1,1,2,1,0,2.944438981
0.7,24,-2.94443897916644,1,0,1,2,1,0,3.401197385
0.5,96,-2.94443897916644,0,0,1,2,1,0,2.77258872
0.5,12,-2.94443897916644,0,0,1,2,1,0,3.25809653
0.3,48,-2.94443897916644,0,0,1,2,1,0,3.178053828
0.3,12,-2.94443897916644,1,0,0,2,1,0,2.397895278
0.5,96,-2.94443897916644,0,1,0,2,1,0,2.484906674
0.5,48,-2.94443897916644,0,1,0,2,1,0,2.833213356
0.9,96,-2.94443897916644,0,0,0,2,0.5,0,3.332204519
0.9,96,-2.94443897916644,0,0,0,2,0.5,0,3.332204519
0.5,96,-2.94443897916644,1,0,0,2,1,0,2.708050183
0.5,48,-2.94443897916644,0,0,1,7,1,0,4.369447848
0.5,48,-2.94443897916644,1,0,1,7,1,1,4.127134386
0.3,96,-2.94443897916644,1,1,1,7,1,0,4.317488113
0.9,12,-2.94443897916644,1,0,1,7,1,1,5.056245807
0.9,48,-2.94443897916644,0,0,1,7,1,1,3.332204519
0.5,48,-2.94443897916644,0,0,0,7,1,0,5.451038455
0.3,12,-2.94443897916644,1,0,0,7,1,0,5.488937726
0.9,24,-2.94443897916644,0,0,0,7,1,1,4.204692619
0.5,96,-2.94443897916644,0,1,0,7,1,1,3.951243723
0.7,24,-2.94443897916644,1,0,0,7,1,1,3.850147608
0.9,96,-2.94443897916644,1,1,1,8,1,1,2.56494935
0.3,12,-2.94443897916644,1,0,1,8,1,0,4.663439097
0.9,12,-2.94443897916644,1,0,1,8,1,1,2.639057339
0.9,12,-2.94443897916644,0,0,1,8,1,1,2.56494935
0.7,48,-2.94443897916644,0,1,1,8,1,1,2.484906621
0.5,12,-2.94443897916644,0,0,0,8,0.333333333333333,0,4.418840614
0.5,12,-2.94443897916644,0,0,0,8,0.333333333333333,0,4.418840614
0.5,12,-2.94443897916644,0,0,0,8,0.333333333333333,0,4.418840614
0.5,48,-2.94443897916644,0,1,0,8,1,0,4.553876894
0.9,96,-2.94443897916644,1,0,0,8,1,1,4.465908114
0.9,24,-2.94443897916644,0,0,0,8,1,0,6.126869185
0.9,48,-2.94443897916644,1,0,0,8,1,1,4.234106511
0.7,12,-2.94443897916644,0,0,0,10,1,0,2.708050225
0.3,48,-2.94443897916644,1,0,0,10,1,0,4.143134721
0.7,96,-2.94443897916644,1,1,0,10,1,1,2.397895221
0.7,24,-2.94443897916644,1,0,0,10,1,0,2.833213319
0.7,48,-2.94443897916644,1,0,0,10,1,1,2.397895278
0.3,12,-2.94443897916644,1,0,1,10,1,0,3.71357207
0.9,12,-2.94443897916644,0,0,1,10,1,0,2.995732256
0.3,24,-2.94443897916644,1,0,1,10,1,0,2.639057294
0.5,96,-2.94443897916644,1,0,1,10,1,1,2.890371747
0.3,96,-2.94443897916644,1,1,1,10,1,0,2.833213319
0.9,48,-2.94443897916644,0,1,0,11,1,1,4.615120514
0.9,12,-2.94443897916644,0,0,0,11,0.5,0,4.442651254
0.9,12,-2.94443897916644,0,0,0,11,0.5,0,4.442651254
0.5,48,-2.94443897916644,1,0,0,11,1,1,4.262679881
0.3,12,-2.94443897916644,1,0,0,11,1,0,3.912023
0.7,96,-2.94443897916644,1,0,0,11,1,1,3.555348062
0.9,96,-2.94443897916644,0,1,1,11,1,1,2.833213356
0.5,24,-2.94443897916644,0,0,1,11,1,0,3.850147595
0.7,48,-2.94443897916644,1,1,1,11,1,1,3.433987195
0.5,24,-2.94443897916644,0,0,1,11,1,0,3.044522432
0.5,96,-2.94443897916644,0,0,1,11,0.5,1,4.219507699
0.5,96,-2.94443897916644,0,0,1,11,0.5,0,4.219507699
0.3,96,-2.94443897916644,1,1,0,12,1,0,3.433987195
0.5,48,-2.94443897916644,1,1,0,12,1,1,3.761200115
0.9,96,-2.94443897916644,1,0,0,12,1,1,2.77258872
0.5,48,-2.94443897916644,0,0,0,12,1,0,4.00733319
0.7,96,-2.94443897916644,1,0,0,12,1,1,3.555348062
0.3,12,-2.94443897916644,1,0,1,12,1,0,3.871201022
0.7,12,-2.94443897916644,0,0,1,12,1,0,3.71357207
0.9,12,-2.94443897916644,1,0,1,12,1,1,2.708050225
0.7,12,-2.94443897916644,1,0,1,12,1,1,3.295836867
0.9,96,-2.94443897916644,0,1,1,12,1,1,3.218875832
0.3,12,-2.94443897916644,0,0,1,13,1,0,4.454347296
0.7,24,-2.94443897916644,1,0,1,13,1,1,4.060443017
0.5,96,-2.94443897916644,0,1,1,13,0.5,0,4.605170187
0.5,96,-2.94443897916644,0,1,1,13,0.5,0,4.605170187
0.9,24,-2.94443897916644,0,0,1,13,1,0,3.295836867
0.5,48,-2.94443897916644,0,0,1,13,1,0,4.844187087
0.7,48,-2.94443897916644,1,1,0,13,1,1,2.890371747
0.3,96,-2.94443897916644,1,1,0,13,1,1,4.812184354
0.3,12,-2.94443897916644,1,0,0,13,0.5,0,4.510859512
0.3,12,-2.94443897916644,1,0,0,13,0.5,0,4.510859512
0.9,12,-2.94443897916644,0,0,0,13,1,0,3.828641398
0.5,48,-2.94443897916644,0,1,1,13,1,0,3.401197385
0.5,12,-2.94443897916644,1,0,0,14,0.5,1,3.737669628
0.5,12,-2.94443897916644,1,0,0,14,0.5,0,3.737669628
0.5,96,-2.94443897916644,0,0,0,14,1,0,4.430816801
0.5,96,-2.94443897916644,0,1,0,14,1,1,4.430816801
0.7,96,-2.94443897916644,0,0,0,14,0.5,0,4.53259949
0.7,96,-2.94443897916644,0,0,0,14,0.5,1,4.53259949
0.3,96,-2.94443897916644,0,0,0,14,1,0,3.688879452
0.7,24,-2.94443897916644,1,0,1,14,0.5,1,3.401197385
0.7,24,-2.94443897916644,1,0,1,14,0.5,0,3.401197385
0.5,96,-2.94443897916644,1,0,1,14,1,1,2.708050183
0.7,96,-2.94443897916644,1,1,1,14,1,1,3.135494204
0.5,24,-2.94443897916644,0,0,1,14,1,0,3.295836867
0.9,96,-2.94443897916644,0,0,1,14,1,1,2.56494935
0.7,96,-2.94443897916644,1,0,1,15,1,1,3.828641398
0.9,48,-2.94443897916644,1,1,1,15,1,1,2.890371747
0.7,48,-2.94443897916644,0,0,1,15,1,1,3.871201009
0.7,48,-2.94443897916644,0,1,1,15,1,1,3.135494231
0.3,96,-2.94443897916644,1,0,1,15,1,0,3.496507548
0.5,96,-2.94443897916644,0,0,0,15,1,0,3.71357207
0.5,48,-2.94443897916644,1,0,0,15,1,0,3.496507548
0.9,48,-2.94443897916644,1,0,0,15,1,0,3.871201009
0.9,24,-2.94443897916644,0,0,0,15,1,0,2.56494935
0.5,96,-2.94443897916644,0,1,0,15,1,0,3.218875832
0.5,48,-2.94443897916644,1,0,1,17,1,0,6.778784898
0.7,12,-2.94443897916644,0,0,1,17,1,0,2.564949397
0.5,96,-2.94443897916644,1,1,1,17,1,1,2.397895278
0.9,12,-2.94443897916644,1,0,1,17,1,1,1.945910113
0.3,96,-2.94443897916644,1,0,1,17,1,0,3.295836867
0.9,96,-2.94443897916644,0,1,0,17,1,1,2.197224532
0.5,48,-2.94443897916644,0,0,0,17,1,0,3.784189639
0.3,12,-2.94443897916644,1,0,0,17,1,1,3.218875832
0.9,12,-2.94443897916644,1,0,0,17,0.5,0,3.401197385
0.9,12,-2.94443897916644,1,0,0,17,0.5,0,3.401197385
0.3,48,-2.94443897916644,1,1,0,17,1,1,2.484906621
0.9,48,-2.94443897916644,0,1,0,18,1,1,3.610917909
0.3,48,-2.94443897916644,1,0,0,18,1,0,3.663561638
0.5,96,-2.94443897916644,1,1,0,18,1,1,3.828641398
0.7,96,-2.94443897916644,1,1,0,18,1,1,2.302585075
0.7,48,-2.94443897916644,1,0,0,18,1,0,4.007333179
0.5,96,-2.94443897916644,0,0,1,18,1,1,3.526360536
0.5,12,-2.94443897916644,0,0,1,18,1,0,3.912023013
0.3,48,-2.94443897916644,1,1,1,18,1,0,3.688879452
0.5,12,-2.94443897916644,0,0,1,18,1,0,2.708050183
0.7,24,-2.94443897916644,0,0,1,18,1,1,3.526360536
0.9,24,-2.94443897916644,1,0,0,19,1,1,2.484906674
0.5,24,-2.94443897916644,1,0,0,19,1,0,4.04305127
0.7,48,-2.94443897916644,1,0,0,19,1,1,2.77258872
0.3,24,-2.94443897916644,0,0,0,19,1,0,3.044522432
0.9,48,-2.94443897916644,1,1,0,19,1,1,2.302585075
0.3,96,-2.94443897916644,1,0,1,19,1,1,2.708050183
0.7,24,-2.94443897916644,0,0,1,19,1,1,2.944438981
0.5,48,-2.94443897916644,0,1,1,19,1,1,2.890371747
0.3,48,-2.94443897916644,1,0,1,19,1,0,2.397895278
0.7,12,-2.94443897916644,0,0,1,19,1,1,2.484906621
0.9,12,-2.94443897916644,0,0,0,20,1,0,4.672828834
0.5,96,-2.94443897916644,0,1,0,20,0.5,0,5.247024074
0.5,96,-2.94443897916644,0,1,0,20,0.5,0,5.247024074
0.5,96,-2.94443897916644,1,0,0,20,1,0,4.73619845
0.5,96,-2.94443897916644,0,1,0,20,1,0,4.73619845
0.9,48,-2.94443897916644,0,1,0,20,0.5,0,4.043051259
0.9,48,-2.94443897916644,0,1,0,20,0.5,1,4.043051259
0.9,96,-2.94443897916644,0,1,1,20,1,0,4.418840607
0.9,48,-2.94443897916644,1,1,1,20,1,0,4.060443017
0.9,48,-2.94443897916644,0,1,1,20,1,0,4.454347296
0.3,48,-2.94443897916644,1,1,1,20,1,0,3.988984047
0.3,96,-2.94443897916644,0,1,1,20,1,1,4.454347296
0.9,96,-2.94443897916644,0,0,1,21,1,1,2.397895278
0.5,96,-2.94443897916644,1,0,1,21,1,1,2.56494935
0.5,96,-2.94443897916644,1,0,1,21,1,1,2.708050183
0.7,48,-2.94443897916644,0,0,1,21,0.5,0,3.091042458
0.7,48,-2.94443897916644,0,0,1,21,0.5,1,3.091042458
0.9,24,-2.94443897916644,1,0,1,21,1,1,3.09104243
0.7,24,-2.94443897916644,0,0,0,21,0.5,0,4.304065098
0.7,24,-2.94443897916644,0,0,0,21,0.5,0,4.304065098
0.3,96,-2.94443897916644,0,1,0,21,1,0,3.367295825
0.3,12,-2.94443897916644,1,0,0,21,0.333333333333333,0,3.178053855
0.3,12,-2.94443897916644,1,0,0,21,0.333333333333333,0,3.178053855
0.3,12,-2.94443897916644,1,0,0,21,0.333333333333333,0,3.178053855
0.3,96,-2.94443897916644,1,1,0,21,1,0,3.295836867
0.3,96,-2.94443897916644,1,1,0,21,1,0,3.332204519
0.7,96,-2.94443897916644,0,0,1,23,1,1,2.484906621
0.7,12,-2.94443897916644,1,0,1,23,1,0,2.944438981
0.3,12,-2.94443897916644,1,0,1,23,1,0,2.564949397
0.5,48,-2.94443897916644,1,0,1,23,1,1,2.07944154
0.9,48,-2.94443897916644,0,0,1,23,1,1,1.791759493
0.7,96,-2.94443897916644,0,0,0,23,1,0,2.890371747
0.5,96,-2.94443897916644,0,0,0,23,1,0,1.791759493
0.5,96,-2.94443897916644,0,0,0,23,1,0,3.135494231
0.3,96,-2.94443897916644,1,1,0,23,1,0,2.639057339
0.5,96,-2.94443897916644,1,0,0,23,1,0,2.302585075
0.5,48,-2.94443897916644,1,1,0,24,1,0,4.304065089
0.3,48,-2.94443897916644,0,1,0,24,1,0,3.97029191
0.9,12,-2.94443897916644,1,0,0,24,1,1,2.890371782
0.3,48,-2.94443897916644,0,1,0,24,1,0,2.833213319
0.7,48,-2.94443897916644,1,1,0,24,1,1,2.197224602
0.9,48,-2.94443897916644,1,0,1,24,1,1,2.197224602
0.5,96,-2.94443897916644,0,1,1,24,1,0,2.397895278
0.5,24,-2.94443897916644,1,0,1,24,1,0,3.295836867
0.7,96,-2.94443897916644,1,0,1,24,1,1,2.07944154
0.7,12,-2.94443897916644,0,0,1,24,1,0,2.302585138
0.9,48,-2.94443897916644,0,0,0,25,1,0,3.496507548
0.7,24,-2.94443897916644,1,0,0,25,1,0,2.944438981
0.5,96,-2.94443897916644,0,1,0,25,0.5,0,3.332204519
0.5,96,-2.94443897916644,0,1,0,25,0.5,1,3.332204519
0.5,48,-2.94443897916644,1,1,0,25,1,0,3.465735901
0.3,48,-2.94443897916644,1,1,0,25,0.5,0,2.484906674
0.3,48,-2.94443897916644,1,1,0,25,0.5,0,2.484906674
0.7,12,-2.94443897916644,1,0,1,25,1,0,2.77258872
0.5,96,-2.94443897916644,0,1,1,25,1,1,2.77258872
0.3,48,-2.94443897916644,1,0,1,25,1,0,2.708050225
0.9,48,-2.94443897916644,0,0,1,25,1,1,1.791759493
0.9,48,-2.94443897916644,1,0,1,25,1,1,1.791759389
0.7,48,-2.94443897916644,0,1,1,29,1,0,3.761200115
0.7,96,-2.94443897916644,0,1,1,29,1,1,2.397895278
0.3,96,-2.94443897916644,0,1,1,29,1,0,3.258096554
0.3,96,-2.94443897916644,0,0,1,29,1,0,3.25809653
0.5,96,-2.94443897916644,0,1,1,29,1,0,3.044522432
0.5,48,-2.94443897916644,0,0,0,29,1,0,3.332204519
0.5,12,-2.94443897916644,1,0,0,29,1,1,3.465735901
0.5,96,-2.94443897916644,1,1,0,29,1,0,2.639057339
0.5,48,-2.94443897916644,0,1,0,29,1,0,2.639057339
0.9,48,-2.94443897916644,1,0,0,29,1,0,3.367295825
0.7,96,-2.94443897916644,1,1,1,31,1,1,3.71357207
0.5,96,-2.94443897916644,1,0,1,31,1,1,3.367295825
0.3,24,-2.94443897916644,1,0,1,31,1,0,4.595119849
0.3,96,-2.94443897916644,0,0,1,31,1,0,3.044522432
0.7,48,-2.94443897916644,0,1,1,31,1,1,2.639057339
0.7,12,-2.94443897916644,1,0,0,31,0.5,0,3.688879452
0.7,12,-2.94443897916644,1,0,0,31,0.5,0,3.688879452
0.5,48,-2.94443897916644,0,0,0,31,0.5,0,4.406719243
0.5,48,-2.94443897916644,0,0,0,31,0.5,1,4.406719243
0.5,12,-2.94443897916644,1,0,0,31,1,1,4.189654738
0.3,12,-2.94443897916644,1,0,0,31,1,0,4.025351689
0.9,24,-2.94443897916644,1,0,0,31,1,1,3.044522432
0.5,96,-2.94443897916644,1,1,0,32,1,1,2.708050183
0.3,96,-2.94443897916644,0,1,0,32,1,0,2.833213356
0.7,12,-2.94443897916644,1,0,0,32,1,0,2.708050225
0.9,96,-2.94443897916644,1,0,0,32,1,1,2.197224602
0.3,96,-2.94443897916644,1,0,0,32,1,1,2.639057339
0.9,48,-2.94443897916644,0,0,1,32,1,1,1.791759493
0.7,24,-2.94443897916644,1,0,1,32,1,1,2.484906674
0.3,24,-2.94443897916644,0,0,1,32,1,0,2.197224602
0.9,48,-2.94443897916644,1,0,1,32,1,1,1.945910203
0.9,24,-2.94443897916644,1,0,1,32,1,1,2.197224602
0.3,24,-2.94443897916644,0,0,1,34,1,0,3.401197385
0.7,12,-2.94443897916644,0,0,1,34,1,0,2.995732256
0.5,48,-2.94443897916644,1,0,1,34,1,1,2.484906674
0.9,12,-2.94443897916644,1,0,1,34,1,0,2.397895278
0.7,96,-2.94443897916644,0,1,1,34,1,1,2.995732287
0.9,12,-2.94443897916644,0,0,0,34,1,1,2.708050183
0.5,96,-2.94443897916644,0,0,0,34,1,0,2.890371747
0.7,48,-2.94443897916644,1,0,0,34,1,0,2.944438981
0.9,24,-2.94443897916644,1,0,0,34,1,1,2.77258872
0.5,24,-2.94443897916644,1,0,0,34,1,0,2.708050183
0.7,96,-2.94443897916644,0,0,0,35,1,0,4.219507708
0.5,48,-2.94443897916644,0,0,0,35,1,0,4.219507708
0.5,48,-2.94443897916644,1,0,0,35,0.5,1,3.583518945
0.5,48,-2.94443897916644,1,0,0,35,0.5,0,3.583518945
0.3,48,-2.94443897916644,0,0,0,35,1,0,4.234106501
0.5,96,-2.94443897916644,1,1,0,35,1,0,3.433987195
0.9,96,-2.94443897916644,0,0,1,35,1,1,2.639057339
0.3,96,-2.94443897916644,0,0,1,35,1,0,3.71357207
0.5,24,-2.94443897916644,0,0,1,35,1,0,3.367295825
0.3,48,-2.94443897916644,1,1,1,35,1,0,2.944438981
0.9,24,-2.94443897916644,0,0,1,35,1,1,2.564949397
0.7,48,-2.94443897916644,0,0,1,36,1,1,3.71357207
0.3,96,-2.94443897916644,0,1,1,36,1,0,3.555348062
0.7,96,-2.94443897916644,1,1,1,36,1,1,2.77258872
0.7,48,-2.94443897916644,0,1,1,36,1,1,3.637586162
0.3,96,-2.94443897916644,1,1,1,36,1,0,2.890371747
0.5,48,-2.94443897916644,0,1,0,36,1,0,3.401197385
0.5,48,-2.94443897916644,1,0,0,36,1,1,3.828641398
0.7,96,-2.94443897916644,1,0,0,36,1,1,2.995732287
0.3,96,-2.94443897916644,1,1,0,36,1,0,4.442651261
0.9,12,-2.94443897916644,0,0,0,36,1,1,3.218875832
0.3,48,-2.94443897916644,0,0,0,38,0.333333333333333,0,3.891820301
0.3,48,-2.94443897916644,0,0,0,38,0.333333333333333,1,3.891820301
0.3,48,-2.94443897916644,0,0,0,38,0.333333333333333,0,3.891820301
0.9,48,-2.94443897916644,1,0,0,38,0.333333333333333,0,3.871201022
0.9,48,-2.94443897916644,1,0,0,38,0.333333333333333,0,3.871201022
0.9,48,-2.94443897916644,1,0,0,38,0.333333333333333,0,3.871201022
0.7,48,-2.94443897916644,0,1,0,38,0.333333333333333,1,4.094344566
0.7,48,-2.94443897916644,0,1,0,38,0.333333333333333,0,4.094344566
0.7,48,-2.94443897916644,0,1,0,38,0.333333333333333,0,4.094344566
0.7,96,-2.94443897916644,1,0,0,38,0.5,0,3.988984047
0.7,96,-2.94443897916644,1,0,0,38,0.5,1,3.988984047
0.9,48,-2.94443897916644,1,1,0,38,0.333333333333333,1,3.784189639
0.9,48,-2.94443897916644,1,1,0,38,0.333333333333333,0,3.784189639
0.9,48,-2.94443897916644,1,1,0,38,0.333333333333333,0,3.784189639
0.3,96,-2.94443897916644,0,0,1,38,0.25,0,3.737669613
0.3,96,-2.94443897916644,0,0,1,38,0.25,0,3.737669613
0.3,96,-2.94443897916644,0,0,1,38,0.25,0,3.737669613
0.3,96,-2.94443897916644,0,0,1,38,0.25,0,3.737669613
0.5,96,-2.94443897916644,0,0,1,38,0.333333333333333,0,4.0253517
0.5,96,-2.94443897916644,0,0,1,38,0.333333333333333,1,4.0253517
0.5,96,-2.94443897916644,0,0,1,38,0.333333333333333,0,4.0253517
0.5,24,-2.94443897916644,0,0,1,38,0.5,0,3.367295825
0.5,24,-2.94443897916644,0,0,1,38,0.5,1,3.367295825
0.3,24,-2.94443897916644,1,0,1,38,0.333333333333333,0,3.178053828
0.3,24,-2.94443897916644,1,0,1,38,0.333333333333333,0,3.178053828
0.3,24,-2.94443897916644,1,0,1,38,0.333333333333333,0,3.178053828
0.9,24,-2.94443897916644,0,0,1,38,0.2,1,2.995732287
0.9,24,-2.94443897916644,0,0,1,38,0.2,0,2.995732287
0.9,24,-2.94443897916644,0,0,1,38,0.2,0,2.995732287
0.9,24,-2.94443897916644,0,0,1,38,0.2,0,2.995732287
0.9,24,-2.94443897916644,0,0,1,38,0.2,0,2.995732287
0.7,96,-2.94443897916644,0,1,1,39,1,1,3.526360518
0.7,96,-2.94443897916644,1,1,1,39,1,1,3.496507567
0.5,96,-2.94443897916644,1,0,1,39,1,1,3.931825632
0.3,96,-2.94443897916644,1,0,1,39,1,0,3.583518945
0.3,96,-2.94443897916644,0,1,1,39,1,0,4.356708827
0.7,48,-2.94443897916644,0,0,0,39,1,1,4.406719243
0.7,96,-2.94443897916644,0,1,0,39,1,0,4.465908121
0.9,48,-2.94443897916644,1,1,0,39,1,0,3.401197364
0.7,48,-2.94443897916644,1,1,0,39,1,1,3.526360518
0.5,24,-2.94443897916644,1,0,0,39,1,0,5.023880519
0.5,24,-2.94443897916644,0,0,1,40,1,0,2.944438981
0.3,96,-2.94443897916644,0,1,1,40,1,0,2.944438981
0.7,96,-2.94443897916644,0,1,1,40,1,1,3.688879468
0.7,48,-2.94443897916644,0,1,1,40,1,1,3.258096554
0.5,48,-2.94443897916644,1,0,1,40,1,1,2.302585075
0.9,96,-2.94443897916644,1,0,0,40,1,1,2.302585138
0.5,48,-2.94443897916644,1,0,0,40,1,1,3.737669613
0.9,48,-2.94443897916644,1,1,0,40,1,1,2.302585075
0.3,48,-2.94443897916644,0,0,0,40,1,0,2.890371747
0.3,96,-2.94443897916644,1,1,0,40,1,1,2.77258872
0.9,24,-2.94443897916644,1,0,1,41,1,1,2.639057339
0.5,24,-2.94443897916644,0,0,1,41,1,0,3.912023
0.3,12,-2.94443897916644,1,0,1,41,1,0,3.891820301
0.7,24,-2.94443897916644,0,0,1,41,1,1,3.891820288
0.3,12,-2.94443897916644,0,0,1,41,1,0,3.433987215
0.9,48,-2.94443897916644,0,1,0,41,1,1,3.806662486
0.3,12,-2.94443897916644,0,0,0,41,1,0,4.304065098
0.5,12,-2.94443897916644,0,0,0,41,1,0,4.262679881
0.7,24,-2.94443897916644,1,0,0,41,1,1,3.555348062
0.3,12,-2.94443897916644,1,0,0,41,1,0,4.430816793
0.5,24,-2.94443897916644,1,0,1,42,1,0,2.995732287
0.3,96,-2.94443897916644,1,0,1,42,1,0,3.367295825
0.3,24,-2.94443897916644,0,0,1,42,1,0,3.784189639
0.9,96,-2.94443897916644,1,1,1,42,1,1,2.302585075
0.7,24,-2.94443897916644,1,0,1,42,1,0,2.197224602
0.5,96,-2.94443897916644,1,0,0,42,1,0,2.197224602
0.9,96,-2.94443897916644,0,0,0,42,1,0,2.833213356
0.7,48,-2.94443897916644,0,0,0,42,1,0,2.708050225
0.9,48,-2.94443897916644,1,1,0,42,1,0,3.044522432
0.3,48,-2.94443897916644,0,1,0,42,1,0,3.091042458
0.5,12,-2.94443897916644,0,0,0,45,1,0,4.025351689
0.3,48,-2.94443897916644,0,0,0,45,1,0,3.258096554
0.3,24,-2.94443897916644,1,0,0,45,1,1,4.304065089
0.9,24,-2.94443897916644,1,0,0,45,1,1,3.178053828
0.5,96,-2.94443897916644,0,0,0,45,1,0,3.044522432
0.7,24,-2.94443897916644,0,0,1,45,1,1,3.784189625
0.7,24,-2.94443897916644,1,0,1,45,1,0,3.178053828
0.3,96,-2.94443897916644,0,0,1,45,1,0,3.688879452
0.9,12,-2.94443897916644,1,0,1,45,1,1,2.944438981
0.3,96,-2.94443897916644,1,0,1,45,1,0,2.484906674
0.5,24,-2.94443897916644,0,0,0,46,1,0,3.688879452
0.7,96,-2.94443897916644,0,0,0,46,1,0,2.890371747
0.7,12,-2.94443897916644,0,0,0,46,1,0,3.044522432
0.3,12,-2.94443897916644,1,0,0,46,1,0,3.258096554
0.3,24,-2.94443897916644,0,0,0,46,1,0,2.890371782
0.5,96,-2.94443897916644,1,0,1,46,1,1,2.77258872
0.9,96,-2.94443897916644,0,0,1,46,1,1,2.302585138
